Unnamed: 0,label_type,start_pos,end_pos,entities,originalText
0,"['试验要素', '试验要素', '试验要素', '性能指标', '试验要素', '试验要素', '系统组成', '试验要素', '系统组成', '性能指标', '任务场景', '性能指标', '性能指标']","[25, 44, 62, 71, 79, 85, 94, 109, 118, 147, 159, 182, 186]","[31, 52, 69, 71, 83, 92, 99, 116, 121, 150, 165, 183, 188]",f-35战斗机;f-35战斗机系统;f-35b战斗机;DELETE;f-35b;f-35c战斗机;空中受油头锥;f-35a战斗机;机炮射击;可靠性指;联合攻击战斗机;机队;可用率,"美国国防部作战试验鉴定局2017财年年度报告指出,f-35战斗机整体上存在诸多问题:一是f-35战斗机系统存在技术缺陷,包括f-35b战斗机轮胎性能低于需求,f-35b和f-35c战斗机的空中受油头锥破损过于频繁,以及f-35a战斗机的机炮射击精度仍有缺陷等;二是f-35项目技术成熟时的大部分可靠性指标都不太可能达到联合攻击战斗机《作战需求文件》的门槛需求;三是机队整体可用率偏低。"
1,"['试验要素', '性能指标', '性能指标', '系统组成', '系统组成', '系统组成', '性能指标']","[6, 34, 47, 60, 65, 75, 86]","[16, 35, 48, 62, 67, 78, 89]","""谢波德""亚轨道飞行器;高度;速度;乘员舱;降落伞;推进模块;垂直着陆","蓝源公司新型""谢波德""亚轨道飞行器试飞成功,试飞中,飞行器达到的最高高度近100千米,上升阶段速度达到马赫数2.94,在乘员舱利用降落伞下降的过程中,推进模块进行了有动力的垂直着陆,该飞行器在起飞10分6秒后降落,此次试飞是首次使用由美国联邦航空局于2017年8月发给蓝源公司的全面发射许可证进行的新型""谢波德""发射。"
2,"['任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '系统组成', '试验要素', '任务场景', '任务场景']","[0, 16, 48, 64, 78, 95, 128, 137, 147, 157, 164]","[14, 31, 62, 76, 89, 103, 131, 143, 151, 160, 167]","""天基红外系统""(sbirs);新型地面系统block10增量2;""国防支援计划""(dsp)卫星;sbirs地球同步轨道卫星;sbirs大椭圆轨道载荷;预警卫星星座/载荷;操作控制;主要任务控制站;备份控制站;控制流程;运行效率","""天基红外系统""(sbirs)的新型地面系统block10增量2进入试验阶段,该系统可同时对包括""国防支援计划""(dsp)卫星,sbirs地球同步轨道卫星,sbirs大椭圆轨道载荷在内的全部预警卫星星座/载荷进行控制,block10增量2系统将sbirs的操作控制集成至一个主要任务控制站及一个备份控制站,大幅简化控制流程,提高运行效率。"
3,"['试验要素', '任务场景', '任务场景', '试验要素', '试验要素', '任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景']","[4, 17, 20, 25, 39, 76, 81, 88, 99, 112, 134]","[13, 17, 20, 32, 44, 76, 82, 93, 104, 118, 140]","p-8a海上侦察飞机;DELETE;DELETE;""(lvc)环境;设备认证试验;DELETE;暗室;导航模拟设备;真实飞行试验;lvc环境试验;f-35战斗机","美国海军p-8a海上侦察飞机在""真实,虚拟,构造的""(lvc)环境下完成了一次设备认证试验,试验在帕图森特河海军航空站的暗室里进行,一架真实的p-8a飞机被放置在暗室中间,利用导航模拟设备模拟了类似真实飞行试验的场景,如果该lvc环境试验被证明可行,接下来美国海军包括f-35战斗机在内的许多飞机也将在该环境中进行相关试验。"
4,"['试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '系统组成', '系统组成', '系统组成', '任务场景', '试验要素', '试验要素', '性能指标']","[9, 19, 43, 73, 89, 109, 114, 119, 143, 172, 193, 204]","[13, 25, 55, 76, 92, 112, 117, 122, 145, 175, 198, 207]","""追梦者"";航天运载飞行器;空中投放-滑翔着陆飞行试验;接地速度;滑行距离;气动性能;飞行软件;控制系统;货运型;9号风洞;高速风洞试验;气动性能","美国内达华山脉公司""追梦者""可重复使用航天运载飞行器在加利福尼亚州莫哈维沙漠成功完成了空中投放-滑翔着陆飞行试验,整个滑翔飞行时间约60秒,飞行器接地速度约305千米/小时,着陆滑行距离约1294米,此次飞行试验验证了气动性能,飞行软件和控制系统性能,并收集了相关数据用于完成""追梦者""货运型的最终设计,目前,""追梦者""同时在阿诺德工程发展中心9号风洞进行马赫数10和马赫数14条件下的高速风洞试验,以确认其气动性能。"
5,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素']","[40, 66, 86, 103, 108, 153, 182]","[57, 77, 92, 106, 114, 156, 183]",go1惰性试验件系留运载飞行试验项目;go1-ita空射型火箭;c-20a飞机;飞行测试;c-20a飞机;动力飞行;模型,"nasa和小型运载火箭开发商---时代轨道发射服务(go)公司日前已经合作完成了go1惰性试验件系留运载飞行试验项目,go公司开发了go1-ita空射型火箭已获得nasa的c-20a飞机的适航批准,针对此次飞行测试,c-20a飞机进行了适度修改,试飞总共进行了三次,成功完成了所有预定测试任务,go1的首次动力飞行预计于2019年进行,在此期间收集的数据将用于验证模型,并反馈至处于设计和研发阶段的go1项目。"
6,"['试验要素', '试验要素', '任务场景', '性能指标', '性能指标', '任务场景', '任务场景', '试验要素']","[22, 35, 60, 65, 77, 95, 99, 104]","[33, 38, 60, 68, 80, 97, 99, 107]","""烈火""-5洲际弹道导弹;发射试验;DELETE;飞行距离;飞行时间;""-5;DELETE;飞行试验","当地时间1月18日上午10时左右,印度进行了""烈火""-5洲际弹道导弹的发射试验,导弹从印度东边卡拉姆岛上的一个公路机动发射站发射,飞行距离约4800千米,飞行时间约19分钟,此次试验是""烈火""-5导弹的第5次飞行试验。"
7,"['任务场景', '试验要素', '任务场景', '任务场景', '任务场景', '任务场景']","[8, 15, 60, 66, 73, 78]","[11, 32, 63, 67, 74, 83]","火星任务;小型核动力系统""kilopower"";空间任务;能源;火星;行星表面任务","nasa表示,为火星任务设计的小型核动力系统""kilopower""首次试验取得成功,kilopower系统的目标是为未来空间任务提供能源,并可能为火星和其他行星表面任务提供能源,测试开始于2017年11月,在能源部的内华达州国家安全场开展,官方表示,系统的全面测试将于2018年3月进行。"
8,"['试验要素', '试验要素', '任务场景', '性能指标', '性能指标', '性能指标', '试验要素', '性能指标', '性能指标', '性能指标']","[26, 60, 63, 76, 81, 87, 108, 115, 118, 138]","[46, 61, 69, 79, 85, 90, 113, 116, 120, 142]",陆军作战人员信息网络战术(win-t)项目;作战;员信息网络战术;作战效能;作战适用性;生存能力;战术网络元素;大小;复杂性;作战适用性,"美国国防部作战试验鉴定局于2017年11月28日发布陆军作战人员信息网络战术(win-t)项目评估报告(全文37页),对作战人员信息网络战术的两个要素的作战效能,作战适用性和生存能力进行了评估,报告肯定了陆军为减少其战术网络元素的大小和复杂性所做的努力,指出win-t简版具备作战适用性,但依然存在种种限制。"
9,"['试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '试验要素', '系统组成', '系统组成', '系统组成', '试验要素', '性能指标']","[15, 25, 48, 66, 79, 91, 96, 99, 103, 119, 184]","[19, 46, 51, 77, 81, 94, 97, 101, 105, 136, 187]","p5试车台;""火神""2.1(vulcain2.1)发动机;点火试验;""阿里安""-6火箭芯一级;主动力;飞行包线;推力;混合比;推进剂;""阿里安""-6上面级vinci发动机;点火能力","德国航空航天中心在拉帕德少森的p5试车台成功进行了""火神""2.1(vulcain2.1)发动机的点火试验。""火神""2.1发动机将作为""阿里安""-6火箭芯一级的主动力,""火神""2.1在飞行包线(推力,混合比和推进剂)内进行了测试。与此同时，""阿里安""-6上面级vinci发动机的合格认证计划正按照预定时间进行，在法国和德国的两个试车台上进行了130余次试验，其中包括数次点火能力演示验证。"
10,"['试验要素', '性能指标', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素']","[23, 46, 66, 88, 99, 104, 123, 144, 149, 156, 162, 167, 172]","[30, 49, 66, 91, 102, 110, 130, 147, 154, 160, 165, 170, 176]",kc-46加油机;加油速度;DELETE;飞行补给;认证试验;规范符合性试验;kc-46加油机;f-16;f/a-18;av-8b;c-17;a-10;kc-10,"10月11日在位于西雅图南部的波音试验场，两架kc-46加油机相互间进行了加油，每分钟的最大加油速度约4542升，4个小时的飞行中,油量传输共计约17281千克。此次里程碑式的飞行补给有助于下一阶段认证试验和规范符合性试验的开展。截至目前，试验用kc-46加油机已完成2000飞行小时，对f-16、f/a-18、av-8b、c-17、a-10和kc-10实施了1300余次加油。"
11,"['试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '性能指标']","[57, 87, 96, 111, 130, 137]","[71, 94, 107, 114, 135, 143]",现代化陆军战术导弹系统飞行试验;陆军战术导弹系统;高机动火箭炮系统发射装置;飞行距离;近距离传感器;定炸高起爆能力,"10月11日报道,洛克希德-马丁公司和美国陆军精确火力\火箭与导弹系统项目管理办公室联合在白沙导弹靶场再次成功进行现代化陆军战术导弹系统飞行试验，并完成所有试验内容。试验中，陆军战术导弹系统从高机动火箭炮系统发射装置发射,飞行距离近140千米,在目标区域验证了近距离传感器的定炸高起爆能力。"
12,"['试验要素', '试验要素', '任务场景', '任务场景', '试验要素', '任务场景', '任务场景', '任务场景']","[36, 52, 57, 84, 107, 131, 136, 147]","[46, 55, 62, 88, 112, 134, 144, 159]",国家网络靶场(ncr);例行维护;能力提升项目;网络战技术;能力提升项目;网络协议;卫星和射频通信系统;战术机动通信和海事通信系统,"洛克希德·马丁公司日前321宣布,该公司下属的导弹与火控系统分部将为美军国家网络靶场(ncr)进行一系列例行维护和能力提升项目,旨在使国家网络靶场具备试验和验证更先进的网络战技术的能力,据了解,洛克希德·马丁公司的能力提升项目完成后,国家网络靶场还将具备试验新的网络协议,卫星和射频通信系统以及战术机动通信和海事通信系统的能力。"
13,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景']","[15, 36, 54, 87, 101, 109]","[27, 45, 57, 95, 106, 113]",一体化防空反导作战指挥系统;tobinwells;研制试验;一体化作战指挥系统;指挥控制系统;营连级作战,"美国诺斯罗普.格鲁曼公司研发的一体化防空反导作战指挥系统在位于布利斯堡的tobinwells完成了一次重要的研制试验.此次测试由美国陆军士兵实施,在为期3周的士兵检验测试中,一体化作战指挥系统作为通用的指挥控制系统用于营连级作战。"
14,"['试验要素', '试验要素', '试验要素', '性能指标']","[8, 34, 52, 62]","[32, 41, 57, 67]",an/dvs-1海岸战场侦察与分析机载水雷探测系统;mq-8b无人机;数据测试飞行;初始作战能力,"美国海军一架装备an/dvs-1海岸战场侦察与分析机载水雷探测系统的mq-8b无人机在埃格林空军基地进行数据测试飞行,实现了初始作战能力。"
15,"['试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '性能指标', '性能指标', '性能指标', '性能指标', '任务场景', '任务场景', '系统组成', '系统组成', '性能指标', '性能指标', '任务场景', '系统组成', '性能指标']","[6, 38, 51, 80, 85, 97, 104, 110, 117, 127, 147, 181, 188, 201, 211, 231, 251, 254]","[31, 49, 70, 80, 93, 98, 105, 115, 123, 145, 157, 186, 195, 206, 217, 248, 252, 257]","agm-84n""鱼叉""blockⅱ空射型反舰巡航导弹;""鱼叉""blockⅱ导弹;agm-84d""鱼叉""blockⅰc导弹;DELETE;空射型反舰巡航导弹;飞行;数据;海上移动目标;瞄准和打击能力;f/a-18e/f""超级大黄蜂""战斗机;p-8a""海神""反潜机;gps制导包;新型数据链路接口;目标选择性能;抗电子干扰能力;f/a-18e/f""超级大黄蜂""战机;软件;互操作性","2月美国海军agm-84n""鱼叉""blockⅱ空射型反舰巡航导弹完成实弹试验""鱼叉""blockⅱ导弹在agm-84d""鱼叉""blockⅰc导弹基础上研制,是一种网络使能的空射型反舰巡航导弹,能在飞行中接收更新数据,提升对海上移动目标的瞄准和打击能力,作为f/a-18e/f""超级大黄蜂""战斗机和p-8a""海神""反潜机的快速,增强型武器,""鱼叉""blockⅱ加装了gps制导包,新型数据链路接口等,提高了目标选择性能,增强了抗电子干扰能力,本次试验演示验证了与最新f/a-18e/f""超级大黄蜂""战机升级软件的互操作性。"
16,"['试验要素', '任务场景', '试验要素', '试验要素', '性能指标', '性能指标', '性能指标', '性能指标', '性能指标', '任务场景', '性能指标', '性能指标']","[18, 55, 64, 76, 97, 117, 123, 135, 142, 151, 154, 167]","[45, 58, 69, 81, 104, 117, 124, 136, 145, 152, 157, 170]","""thor-m2dt""型北极近程防空系统拦截巡航导弹试验;空军部队;模拟巡航导弹;电子主动干扰;极端气候环境试验;DELETE;环境;同时;空中目标;导弹;打击距离;打击高度","2月,俄罗斯在卡普斯丁亚尔试验场完成""thor-m2dt""型北极近程防空系统拦截巡航导弹试验,试验中,模拟敌方空军部队发射了两枚模拟巡航导弹,同时进行了电子主动干扰,目前,该防空系统正在北极进行极端气候环境试验,俄罗斯希望该系统能够在零下50℃的环境下正常使用,该系统能同时探测40个空中目标,有16枚导弹,打击距离最大12千米,最高打击高度10千米。"
17,"['试验要素', '性能指标', '系统组成']","[27, 51, 74]","[46, 54, 81]","""轻型战斗直升机""(技术演示验证机2号);飞行时间;自动飞行控制系统","2月2日,印度航空公司下属的战略电子研究设计中心完成了""轻型战斗直升机""(技术演示验证机2号)的首飞,飞行时间20分钟,直升机上安装有印度自己研发的自动飞行控制系统,2017年8月26日,轻型战斗直升机获得了初始运营许可。"
18,"['试验要素', '任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '系统组成', '试验要素']","[48, 66, 71, 85, 107, 115, 133, 155]","[53, 67, 76, 93, 110, 118, 141, 158]","""僚机项目"";士兵;自主驾驶系统;高机动多用途轮式车;自主车辆;有人车辆;车载762毫米机枪;陆军士兵","2月,在美军联合能力技术演示验证计划支持下,美国陆军的坦克汽车研发与工程中心承担了一个为期3年的""僚机项目"",其目的是开发出两套可由士兵控制的自主驾驶系统,并且安装在两辆高机动多用途轮式车上,在演示验证过程中,一辆自主车辆在另一辆有人车辆的控制下自主驾驶,并自主使用车载762毫米机枪打击了目标,整个过程由5名陆军士兵操作进行。"
19,"['试验要素', '试验要素', '试验要素', '系统组成', '系统组成', '系统组成', '系统组成', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景']","[3, 18, 35, 60, 70, 80, 83, 101, 106, 116, 131, 167]","[15, 19, 39, 68, 78, 81, 85, 104, 109, 121, 134, 173]","""米格""-35多用途战斗机;工厂;适航性认证;机载无线电电子装备;观测和导航综合设施;雷达;发动机;作战包线;作战效率;战斗应用情况;部队试验;俄罗斯空军部队","俄罗斯""米格""-35多用途战斗机完成工厂试验,于2017年12月颁发了适航性认证,试验持续了2017年一整年,重点是验证机载无线电电子装备,观测和导航综合设施,雷达和发动机等系统,同时也测试了相关任务的作战包线,作战效率以及探索一些战斗应用情况,后续该飞机将进行部队试验,俄罗斯国家军备计划要求,""米格""-35战斗机将于2020年装备俄罗斯空军部队。"
20,"['试验要素', '性能指标', '任务场景', '试验要素', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景']","[25, 39, 44, 55, 71, 76, 91, 95, 99]","[26, 42, 46, 58, 74, 78, 93, 97, 100]",弹药;穿透能力;俄罗斯;坦克炮弹;主战坦克;装甲车;t90;t72;坦克,"印度国防研究与发展组织下属的弹药研发公司自主研制的弹药经过10天的试验,证明其穿透能力与俄罗斯和北约出口印度的坦克炮弹能力相当,印度表示,印度主战坦克和装甲车今后将大量采购该型弹药,t90,t72等坦克都可以使用该弹药,印度陆军于2017年6月已经给出了10万枚该弹药的合同。"
21,"['任务场景', '试验要素', '任务场景', '试验要素', '试验要素', '任务场景', '系统组成', '系统组成', '试验要素', '性能指标', '试验要素', '性能指标', '试验要素', '任务场景']","[1, 93, 105, 111, 119, 134, 141, 144, 149, 159, 165, 176, 179, 190]","[9, 99, 107, 115, 121, 137, 142, 146, 155, 162, 168, 176, 181, 193]",式货物运送系统试验;c-17运输机;空降区;6轮小推车;集装箱;地面部队;弹药;补给品;c-17运输机;低空状态;战术条令;DELETE;小推车;地面部队,"轮式货物运送系统试验由陆军作战试验司令部空降与特种作战试验分部组织,第82空降师第2战斗旅第325空降步兵团2营a连操作,陆军高级空降兵学校负责战术和条令的高级专家负责指挥,作战试验中,c-17运输机飞行至指定空降区,每个6轮小推车上按照集装箱的样子装载约230千克为地面部队准备的弹药和补给品,从c-17运输机上,在低空状态下按战术条令直接推出,装载货物的小推车,掉到地面后,由地面部队负责回收。"
22,"['试验要素', '试验要素', '试验要素', '任务场景', '任务场景']","[41, 64, 115, 129, 138]","[48, 69, 124, 132, 141]",高超声速风洞设施;高超声速试验;高超声速武器飞行试验;作战原型;进攻能力,"dapra局长史蒂文·沃克在华盛顿与国防领域媒体的见面会上表示,美国目前没有足够的高超声速风洞设施来满足未来几年内将要开展的大量高超声速试验要求,为此,在2019财年预算申请中,darpa申请了巨额预算资金,旨在于2019财年启动高超声速武器飞行试验,以及为作战原型研发更多的进攻能力。"
23,"['任务场景', '任务场景', '性能指标', '试验要素', '任务场景', '任务场景', '试验要素', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景']","[7, 10, 27, 33, 46, 57, 75, 96, 101, 110, 125, 131, 149, 157, 171]","[8, 16, 29, 36, 53, 62, 82, 99, 102, 120, 129, 134, 150, 163, 174]",美军;家太空防御中心;全天候;作战中心;美国关键太空资产;美国太空能力;国家太空防御中心;太空领域;信息;国家安全空间企业级体系;新兴和先进;太空威胁;美军;美国及联合作战;太空领域,"从1月8日起,美军国家太空防御中心从试验性机构正式转为全天候运行的作战中心,致力于保护和防卫美国关键太空资产,随着美国太空能力面临的潜在威胁日益增长,国家太空防御中心的全天候运行将通过促进整个太空领域的信息共享,帮助确保国家安全空间企业级体系挫败任何新兴和先进的太空威胁,最终,这一转变将进一步增强美军保护和防卫对美国及联合作战人员至关重要的太空领域的能力。"
24,"['系统组成', '试验要素', '试验要素', '任务场景', '任务场景', '性能指标', '系统组成', '系统组成']","[15, 22, 68, 122, 128, 152, 166, 172]","[17, 27, 84, 124, 133, 153, 168, 181]","核弹头;洲际弹道导弹;rs-28""萨尔玛特""洲际弹道导弹;服役期;""撒旦""导弹;质量;核弹头;高超声速助推滑翔弹头","俄罗斯已第二次成功试射了可携带核弹头的最先进洲际弹道导弹,俄罗斯国防部发布了一段视频,展示了在俄罗斯西北部普列谢茨克航天发射场发射了一枚rs-28""萨尔玛特""洲际弹道导弹的情况,该基地靠近北极圈,该型导弹首次试射是2017年12月,该导弹将取代服役期将尽的""撒旦""导弹,第五代重型洲际弹道导弹""萨尔玛特""质量超过200吨,可携带多种核弹头,包括高超声速助推滑翔弹头。"
25,"['试验要素', '试验要素', '系统组成', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景']","[13, 37, 64, 77, 90, 94, 97, 101]","[26, 50, 69, 86, 92, 95, 99, 104]","""杜香""新型防空导弹系统试验;""杜香""新型近程防空导弹系统;激光制导系统;DELETE;无人机;飞机;直升机;巡航导弹","高精确系统有限公司已完成了""杜香""新型防空导弹系统试验,即将进入列装阶段,""杜香""新型近程防空导弹系统已研发10余年,具备最新型激光制导系统,主要用于打击高精确,低空飞行目标,包括无人机,飞机,直升机和巡航导弹等。"
26,"['试验要素', '试验要素', '任务场景', '试验要素', '试验要素', '试验要素', '任务场景', '试验要素', '试验要素', '任务场景', '性能指标']","[7, 22, 27, 46, 55, 67, 73, 80, 95, 100, 122]","[15, 25, 38, 51, 63, 71, 75, 91, 98, 111, 125]","""林肯""号航空母舰;远程控制;DELETE;航空飞行甲板;""林肯""号航空母舰;资格认证和;行试验;飞机末端近远程感应器系统;远程控制;DELETE;触舰复飞","美国海军军官在""林肯""号航空母舰上首次演示了远程控制f/a-18""超级大黄蜂"",并将其降落在航空飞行甲板上,在""林肯""号航空母舰上进行资格认证和飞行试验时,使用飞机末端近远程感应器系统演示了远程控制f/a-18""超级大黄蜂"",还利用该系统演示了触舰复飞。"
27,"['任务场景', '任务场景', '试验要素', '试验要素', '任务场景', '试验要素', '试验要素']","[3, 5, 18, 42, 52, 58, 73]","[3, 8, 21, 43, 56, 61, 76]",DELETE;坦克导弹;打靶试验;坦克;反坦克导弹;研制试验;部队试验,"印度国产反坦克导弹于2月28日进行了打靶试验,试验在沙漠中进行,该导弹成功摧毁了两辆坦克,至此,印度国产反坦克导弹的研制试验全部完成,接下来将进入部队试验阶段。"
28,"['试验要素', '试验要素', '试验要素', '试验要素']","[13, 29, 44, 47]","[27, 32, 45, 50]",打击目标再入飞行器(mirv);弹道导弹;设计;技术参数,"巴基斯坦试射了一枚具有多个打击目标再入飞行器(mirv)的弹道导弹,试射的目的是验证各种设计和技术参数。"
29,"['试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '试验要素', '试验要素', '性能指标']","[12, 38, 52, 71, 106, 110, 118, 130]","[28, 41, 67, 72, 107, 115, 121, 131]","kh-47m2""匕首""高超声速导弹;发射平台;""米格""-31bm双座远程截击机;地点;飞机;""匕首""导弹;预设阵位;准确","多家俄罗斯国内媒体发布了kh-47m2""匕首""高超声速导弹的试射视频,该导弹发射平台为俄罗斯空天军的1架""米格""-31bm双座远程截击机,试验地点位于俄罗斯的西南部地区,俄罗斯空天军在新闻简报中称,""米格""-31飞机携带""匕首""导弹飞抵预设阵位后成功发射,导弹准确命中既定区域的目标。"
30,"['任务场景', '试验要素', '任务场景', '任务场景', '任务场景', '任务场景', '任务场景', '试验要素', '任务场景', '任务场景']","[34, 43, 51, 61, 81, 86, 89, 94, 103, 113]","[36, 46, 51, 61, 84, 86, 92, 99, 106, 118]",海军学;网络演习;DELETE;DELETE;军种学院;DELETE;海军中校;网络防御技能;军校学员;网络作战挑战,"3月19日至21日美国国家安全局(nsa)在马里兰州安纳波利斯的美国海军学院举行了首届网络演习,美国海军学院成为首届网络演习的获胜者,nsa网络演习旨在测试美国各军种学院的学员和海军中校的网络防御技能,确保军校学员能够应对各种网络作战挑战。"
31,"['试验要素', '试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '性能指标', '性能指标', '性能指标', '性能指标']","[2, 31, 57, 106, 131, 136, 147, 156, 162, 172]","[17, 34, 63, 119, 133, 139, 154, 160, 166, 176]",agm-158c远程反舰巡航导弹;飞行试验;b-1b轰炸机;agm-158c远程反舰导弹;舰队群;特定目标;情报监视侦查平台;网络数据链;gps导航;电子战环境,"美军agm-158c远程反舰巡航导弹在穆古角海上靶场完成第6次飞行试验,美国空军第337试验中队负责试验,试验中,b-1b轰炸机从得克萨斯州的dyess空军基地起飞,在加利福尼亚州的穆古角海上靶场发射了一枚生产型agm-158c远程反舰导弹,该导弹能够探测和打击舰队群中的特定目标,并且较少依赖情报监视侦查平台,网络数据链和gps导航等,能够在电子战环境下作战。"
